obs_ID,observer,year,nest,start_time_video,end_dt,type,partner_present,dt_behaviour,behaviour,who,sex,comments
74,cm,2012,s502,2000-Jan-06 07:51:52,2000-Jan-06 08:20:03,ex,n,2000-Jan-06 08:10:05,c,o,f,
74,cm,2012,s502,2000-Jan-06 07:51:52,2000-Jan-06 08:20:03,ex,n,2000-Jan-06 08:19:14,c,o,f,
74,cm,2012,s502,2000-Jan-06 07:51:52,2000-Jan-06 08:20:03,ex,n,2000-Jan-06 08:19:24,c,o,f,
74,cm,2012,s502,2000-Jan-06 07:51:52,2000-Jan-06 08:20:03,ex,n,2000-Jan-06 08:19:33,c,o,f,
74,cm,2012,s502,2000-Jan-06 07:51:52,2000-Jan-06 08:20:03,ex,n,2000-Jan-06 08:19:50,c,o,f,
74,cm,2012,s502,2000-Jan-06 07:51:52,2000-Jan-06 08:20:03,ex,n,2000-Jan-06 08:20:02,c,o,f,
74,cm,2012,s502,2000-Jan-06 07:51:52,2000-Jan-06 08:20:03,ex,y,2000-Jan-06 08:20:03,c,c,m,
75,cm,2012,s502,2000-Jan-06 17:34:40,2000-Jan-06 18:04:05,ex,n,2000-Jan-06 17:53:41,c,o,m,
75,cm,2012,s502,2000-Jan-06 17:34:40,2000-Jan-06 18:04:05,ex,n,2000-Jan-06 17:53:46,c,o,m,
75,cm,2012,s502,2000-Jan-06 17:34:40,2000-Jan-06 18:04:05,ex,n,2000-Jan-06 17:53:46,f,o,m,
76,cm,2012,s502,2000-Jan-04 07:09:16,2000-Jan-04 07:30:22,non,n,2000-Jan-04 07:11:18,c,o,f,
77,cm,2012,s502,2000-Jan-04 14:18:16,2000-Jan-04 14:47:30,non,n,,n,o,m,
78,cm,2012,s502,2000-Jan-05 12:27:40,2000-Jan-05 12:57:06,non,n,,n,o,m,
79,cm,2012,s502,2000-Jan-05 16:10:18,2000-Jan-05 16:39:59,non,n,,n,o,m,
80,cm,2012,s502,2000-Jan-06 11:07:50,2000-Jan-06 11:37:15,non,n,,n,o,m,
81,cm,2012,s506,2012-Jun-19 17:35:28,2012-Jun-19 18:02:29,ex,n,2012-Jun-19 17:35:28,f,o,m,
81,cm,2012,s506,2012-Jun-19 17:35:28,2012-Jun-19 18:02:29,ex,n,2012-Jun-19 17:35:16,c,o,m,
82,cm,2012,s506,2012-Jun-20 04:48:23,2012-Jun-20 05:18:06,ex,n,2012-Jun-20 05:10:36,c,o,f,
83,cm,2012,s506,2012-Jun-20 10:53:20,2012-Jun-20 11:22:39,ex,n,2012-Jun-20 11:03:10,c,o,m,
83,cm,2012,s506,2012-Jun-20 10:53:20,2012-Jun-20 11:22:39,ex,n,2012-Jun-20 11:03:29,c,o,m,
83,cm,2012,s506,2012-Jun-20 10:53:20,2012-Jun-20 11:22:39,ex,n,2012-Jun-20 11:03:50,c,o,m,
83,cm,2012,s506,2012-Jun-20 10:53:20,2012-Jun-20 11:22:39,ex,n,2012-Jun-20 11:17:56,c,o,m,
83,cm,2012,s506,2012-Jun-20 10:53:20,2012-Jun-20 11:22:39,ex,n,2012-Jun-20 11:20:46,c,o,m,
83,cm,2012,s506,2012-Jun-20 10:53:20,2012-Jun-20 11:22:39,ex,n,2012-Jun-20 11:22:06,c,o,m,
84,cm,2012,s506,2012-Jun-20 18:01:18,2012-Jun-20 18:30:48,ex,n,2012-Jun-20 18:07:34,c,o,f,
84,cm,2012,s506,2012-Jun-20 18:01:18,2012-Jun-20 18:30:48,ex,n,2012-Jun-20 18:07:45,c,o,f,
84,cm,2012,s506,2012-Jun-20 18:01:18,2012-Jun-20 18:30:48,ex,n,2012-Jun-20 18:08:13,f,o,f,
84,cm,2012,s506,2012-Jun-20 18:01:18,2012-Jun-20 18:30:48,ex,n,2012-Jun-20 18:17:12,c,o,f,
84,cm,2012,s506,2012-Jun-20 18:01:18,2012-Jun-20 18:30:48,ex,y,2012-Jun-20 18:30:43,c,o,f,
85,cm,2012,s506,2012-Jun-21 05:01:46,2012-Jun-21 05:30:41,ex,n,2012-Jun-21 05:02:20,c,o,m,
85,cm,2012,s506,2012-Jun-21 05:01:46,2012-Jun-21 05:30:41,ex,n,2012-Jun-21 05:02:30,c,o,m,
85,cm,2012,s506,2012-Jun-21 05:01:46,2012-Jun-21 05:30:41,ex,n,2012-Jun-21 05:02:35,c,o,m,
