obs_ID,year,nest,type,capture,cage,sound_ok,left_before_presence,shorter_obs,former_exchange,close_to_exchange,close_to_ex_comment,current_bout_biased,total_exclusion,comments
103,2012,s609,ex,n,y,y,n,n,NA,NA,,NA,,
104,2012,s609,ex,n,y,y,n,n,NA,NA,,n,,
105,2012,s609,ex,n,y,y,n,n,NA,NA,,n,,
106,2012,s609,non,n,y,y,NA,n,n,n,,NA,,
107,2012,s609,non,n,y,y,NA,n,n,n,60min after,NA,,
108,2012,s609,non,n,y,y,NA,n,n,n,70min after,NA,,
109,2012,s705,ex,n,n,y,n,n,NA,NA,,n,,
110,2012,s705,ex,n,n,y,n,n,NA,NA,,n,,
111,2012,s705,ex,n,y,y,n,n,NA,NA,,n,,
112,2012,s705,ex,n,y,y,n,n,NA,NA,,n,,
297,2012,s705,ex,n,y,y,n,n,NA,NA,,n,,
113,2012,s705,ex,n,y,y,n,n,NA,NA,,n,,
114,2012,s705,ex,n,y,y,n,n,NA,NA,,n,,
115,2012,s705,ex,n,y,y,n,n,NA,NA,,n,,
116,2012,s705,ex,n,y,y,n,n,NA,NA,,n,,
117,2012,s705,ex,n,y,y,n,n,NA,NA,,n,,
118,2012,s705,ex,n,y,y,n,n,NA,NA,,n,,
119,2012,s705,non,n,n,y,NA,n,n,n,,NA,,
120,2012,s705,non,n,y,y,NA,n,n,n,30min after,NA,,
121,2012,s705,non,n,y,y,NA,n,n,y,24min after,NA,,
122,2012,s705,non,n,y,y,NA,n,n,n,,NA,,
123,2012,s705,non,n,y,y,NA,n,n,n,,NA,,
124,2012,s706,ex,n,y,y,n,n,NA,NA,,n,,
125,2012,s706,ex,n,y,y,n,n,NA,NA,,n,,
126,2012,s706,ex,n,y,y,n,n,NA,NA,,n,,
127,2012,s706,ex,n,y,y,n,n,NA,NA,,n,,
128,2012,s706,ex,n,y,y,n,n,NA,NA,,n,,
129,2012,s706,ex,n,y,y,n,n,NA,NA,,n,,
130,2012,s706,non,n,y,y,NA,n,n,n,,NA,,
131,2012,s706,non,n,y,y,NA,n,n,n,,NA,,
132,2012,s706,non,n,y,y,NA,n,n,n,,NA,,
133,2012,s706,non,n,y,y,NA,n,n,n,,NA,,
134,2012,s706,non,n,y,y,NA,n,n,n,,NA,,
135,2012,s708,ex,n,n,y,n,n,NA,NA,,n,,
136,2012,s708,ex,n,n,y,n,n,NA,NA,,n,,
137,2012,s708,ex,n,n,y,n,n,NA,NA,,n,,
138,2012,s708,ex,n,n,y,n,n,NA,NA,,n,,
139,2012,s708,non,n,n,y,NA,n,n,n,,NA,,
140,2012,s708,non,n,n,y,NA,n,n,n,,NA,,
141,2012,s708,non,n,n,y,NA,n,n,n,,NA,,
142,2012,s708,non,n,n,y,NA,n,n,n,,NA,,
143,2012,s712,ex,n,n,y,n,y,NA,NA,,n,,
144,2012,s712,ex,n,n,y,y,n,NA,NA,,n,,
145,2012,s712,ex,n,n,y,n,n,NA,NA,,n,,
