obs_ID,observer,year,nest,file_name,type,ex_non_ID,pair_ID,start_time_video,capture,cage,sex,sound_ok,bill_call_visible,reality_dt,video_dt,timespan_before_presence,dt_1st_presence,type_p,dt_1st_call,first_who,reply,call_how_many,call_o_alone ,call_o_pres_arrive ,call_c_pres_arrive,dt_1st_flyoff,number_flyoff,duration_flyoff,dt_arrive,type_a,direction_a,with_calling,o_replies,call_c_int,call_o_int,call_int_1,dt_left,type_l,call_left,current_bout,next_bout,pushoff_int,left_before_presence,call_int_c2,dt_on,call_int_c3,abnormality,file_name_new,comments
46,cm,2011,s302,"0AP1VRS0, 0AP3I2R0, 0AP3J2G0",non,3,,,n,n,m,y,n,,,0:29:46,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-Jun-20 09:14:20,1,0:01:16,,,,,,,,,,,,NA,NA,,,,,,,s302_2011_Jun_19_09-15-36,"This was previously scored as an exchange, but actually was a fly-off. The actual exchange happened shortly before start of observation around 09:00. Careful when analyzing, could be biased due to close exchange."
47,cm,2011,s513,"0APU8SU0, 0APU9CC0, 0APU9RO0, 0APUAB80",ex,1,16,2011-Jun-30 12:07:45,n,n,f,n,n,2011-Jun-30 12:40:32,2011-Jun-30 12:37:45,0:19:36,2011-Jun-30 12:37:21,v,2011-Jun-30 12:19:08,o,n,6,6,NA,NA,NA,0,0,2011-Jun-30 12:37:21,w,r,n,n,1,0,1,2011-Jun-30 12:36:24,wf,n,716.333,744.917,0,y,1,2011-Jun-30 12:37:45,NA,t,s513_2011_Jun_30_12-37-45,"very loud noise of camera or microphone, bad sound, not sure whether I could hear calls after ""on_nest"""
48,cm,2011,s513,"0APUE6B0, 0APUELK0, 0APUF530",non,1,16,2011-Jun-30 13:38:21,n,n,m,n,n,2011-Jun-30 12:40:32,2011-Jun-30 12:37:45,0:19:36,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-Jun-30 13:55:39,1,0:01:16,NA,,,,,,,,,,,NA,NA,,,,,,,,
49,cm,2011,s710,"0APPHLI0, 0APPI590, 0APPIKV0, 0APPJ4L0, 0APPJKC0",non,1,,,n,n,m,y,n,,,0:28:43,,,2011-Jun-28 17:41:08,o,y,12,,,,NA,0,0,2011-Jun-28 17:42:04,w,l,y,y,3,3,3,2011-Jun-28 17:42:55,w,y,NA,NA,,n,3,2011-Jun-28 17:42:32,2,y,s710_2011_Jun_28_17-42-32,"call_how_many: maybe more than 12, it was a constant calling, very windy. there is no birs on nest between 17:12:17 (start of video) and 17:20:23. Both birds (incoming and on-nest) leave nest shortly inbetween for feeding right next to nestsite. Incoming bird sits next to bird on nest, so they are both on nest together. Bird on nest leaves nest but stays close for some seconds, then flys away."
50,cm,2011,s710,"0APPRQK0, 0APPS9V0, 0APPSP80, 0APPT8I0",non,2,,2011-Jun-28 20:00:22,n,n,f,y,n,,,0:28:43,NA,NA,2011-Jun-28 20:03:47,o,n,2,,,,NA,0,0,,,,,,,,,,,,NA,NA,,,,,,,,
51,cm,2012,s313,"0BNT9LV0, 0BNTALG0, 0BNTBL50",ex,1,18,2012-Jun-28 05:32:36,n,y,f,y,n,,,0:28:39,2012-Jun-28 06:01:15,a,2012-Jun-28 06:01:15,c,n,1,0,0,1,NA,0,0,2012-Jun-28 06:01:46,f,r,y,y,3,3,3,2012-Jun-28 06:02:18,f,n,694.083,1029.466667,2,n,2,2012-Jun-28 06:02:36,0,n,s313_2012_Jun_28_06-02-36,Nest sehr schlecht sichtbar
52,cm,2012,s313,"0BNV6AS0, 0BNV7B00, 0BNV8B10",ex,2,19,2012-Jun-28 22:45:00,n,y,m,y,n,,,0:29:52,2012-Jun-28 23:14:52,v,NA,NA,NA,0,0,NA,NA,NA,0,0,2012-Jun-28 23:14:52,w,l,n,n,0,0,0,2012-Jun-28 23:12:14,wf,n,1029.466667,601.583,0,y,0,2012-Jun-28 23:15:00,0,n,s313_2012_Jun_28_23-15-00,
53,cm,2012,s313,"0BNU6QM0, 0BNU7Q50",non,1,19,2012-Jun-28 13:40:40,n,y,m,y,n,,,0:29:52,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,,,,,,,,,,,,NA,NA,,,,,,,,
54,cm,2012,s313,"0BNUTA70, 0BNUUA90",non,2,18,2012-Jun-28 20:04:25,n,y,m,y,n,,,0:28:39,NA,NA,2012-Jun-28 20:20:05,o,n,1,1,NA,NA,NA,0,0,,,,,,,,,,,,NA,NA,,,,,,,,
55,cm,2012,s314,"0BNSJ1C0, 0BNSJHC0, 0BNSK1B0, 0BNSKHC0, 0BNSL1A0",ex,1,20,2012-Jun-27 23:05:44,n,y,f,y,n,,,0:29:44,2012-Jun-27 23:35:28,v,2012-Jun-27 23:22:16,o,n,2,2,NA,NA,NA,0,0,2012-Jun-27 23:35:28,w,r,n,n,0,0,0,2012-Jun-27 23:35:41,w,n,NA,756.7667,0,n,0,2012-Jun-27 23:35:44,0,n,s314_2012_Jun_27_23-35-44,
56,cm,2012,s314,"0BNQBVL0, 0BNQCFM0, 0BNQCVO0, 0BNQDFP0",non,1,20,2012-Jun-28 00:05:00,n,y,m,y,n,,,0:29:44,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,,,,,,,,,,,,NA,NA,,,,,,,,
57,cm,2012,s403,"0BMKVDM0, 0BMKVTM0, 0BML0DL0, 0BML0TK0, 0BML1DI0",ex,1,21,2012-Jun-12 22:29:03,n,y,m,y,n,,,0:28:09,2012-Jun-12 22:57:12,v,NA,NA,NA,0,0,NA,NA,NA,0,0,2012-Jun-12 22:57:12,w,r,n,n,0,0,0,2012-Jun-12 22:58:44,wf,n,NA,552.6833,0,n,0,2012-Jun-12 22:59:03,0,n,s403_2012_Jun_12_22-59-03,
58,cm,2012,s403,"0BMLVT90, 0BMM0D90, 0BMM0T90, 0BMM1D90",ex,2,22,2012-Jun-13 07:41:46,n,y,f,y,n,,,0:29:20,2012-Jun-13 08:11:06,a,2012-Jun-13 07:52:02,o,n,4,3,1,1,NA,0,0,2012-Jun-13 08:11:25,w,l,y,y,3,3,3,2012-Jun-13 08:11:44,wf,y,552.6833333,NA,3,n,3,2012-Jun-13 08:11:46,2,n,s403_2012_Jun_13_08-11-46,at  first call: there was abird calling before and after the incuabting bird called but far in the distance
59,cm,2012,s403,"0BMNERQ0, 0BMNFBQ0, 0BMNFRQ0, 0BMNGBQ0, 0BMNGRR0",ex,3,23,2012-Jun-13 21:03:15,n,y,m,y,n,,,0:28:00,2012-Jun-13 21:31:15,a,2012-Jun-13 21:29:04,o,n,6,1,NA,5,NA,0,0,2012-Jun-13 21:33:04,w,l,y,n,0,0,0,2012-Jun-13 21:31:09,wf,y,NA,NA,0,NA,2,2012-Jun-13 21:33:15,2,n,s403_2012_Jun_13_21-33-15,6seconds after the incubating bird flew off I heard the first call of new bird but it seems to be it has been there before
60,cm,2012,s403,"0BMOJ9H0, 0BMOJPE0, 0BMOK9A0, 0BMOKP50, 0BMOL940",ex,4,24,2012-Jun-14 07:23:45,n,y,f,y,n,,,0:29:39,2012-Jun-14 07:53:24,v,2012-Jun-14 07:53:30,c,n,NA,NA,NA,NA,NA,0,0,2012-Jun-14 07:53:24,w,l,n,n,3,0,3,2012-Jun-14 07:53:33,wf,n,NA,705.7667,3,n,2,2012-Jun-14 07:53:45,0,n,s403_2012_Jun_14_07-53-45,"incoming bird called so long until incubating bird left,it was like it didn't want to leave"
